Militaire eenheid,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,Totale beweging (km),Aantal bewegingen
40-а окрема морська піхотна бригада,"47.316108, 37.4879821",,,,,,,,0.0,0
40th Separate Marine Infantry Brigade,,"48.6208258, 38.3172295","48.6208258, 38.3172295","48.6208258, 38.3172295","48.6208258, 38.3172295",,,,0.0,1
423-й гвардійський мотострілецький полк,"49.133532, 37.1200254",,,,,,,,0.0,0
423rd Guards Motorized Rifle Regiment,,"49.6643772, 37.5746166","49.6643772, 37.5746166","49.6643772, 37.5746166","49.6643772, 37.5746166",,,,0.0,1
429th Motorized Rifle Regiment,,,,,,"47.4484105, 35.2776047","47.4484105, 35.2776047","47.4484105, 35.2776047",0.0,1
429-й танковий полк,"47.3368541, 35.2336653",,,,,,,,0.0,0
429th Tank Regiment,,"47.4484105, 35.2776047","47.4484105, 35.2776047","47.4484105, 35.2776047","47.4484105, 35.2776047",,,,0.0,1
439th Guards Rocket Artillery Brigade,,,,,,"46.6092753, 32.7248911","46.6092753, 32.7248911","46.6092753, 32.7248911",0.0,1
5th Separate Guards Tank Brigade,,"49.2423712, 37.277124","49.2423712, 37.277124","49.2423712, 37.277124","49.2423712, 37.277124",,,,0.0,1
5th Separate Motorized Rifle Brigade (DPR),,"48.0538811, 37.7752793","48.0538811, 37.7752793","48.0538811, 37.7752793","48.0538811, 37.7752793",,,,0.0,1
5th Combined Arms Army,,,,,,"46.9185125, 33.155228",,,0.0,1
503-й мотострілецький полк,"47.4238576, 35.2528876",,,,,,,,0.0,0
503rd Motorized Rifle Regiment,,,,,,"47.4842787, 36.2388276","47.4842787, 36.2388276","47.4842787, 36.2388276",0.0,1
55-а окрема мотострілецька бригада,"49.1737867, 37.930513",,,,,,,,0.0,0
55th Separate Motorized Rifle Brigade,,"48.999612, 38.1085223","48.999612, 38.1085223","48.999612, 38.1085223","48.999612, 38.1085223",,,,0.0,1
4-а окрема мотострілецька бригада (Луганськ),"48.723517, 38.6416554",,,,,,,,0.0,0
56-й гвардійський десантно-штурмовий полк,"46.7437365, 32.6233008",,,,,,,,0.0,0
56th Guards Assault Regiment,,"46.6860661, 32.5065677","46.6860661, 32.5065677","46.6860661, 32.5065677","46.6860661, 32.5065677",,,,0.0,1
57th Separate Motorized Rifle Brigade,,"48.6279132, 38.3774896","48.6279132, 38.3774896","48.6279132, 38.3774896","48.6279132, 38.3774896",,,,0.0,1
57-а окрема мотострілецька бригада,"49.2709608, 38.9131628",,,,,,,,0.0,0
6th Separate Motorized Rifle Regiment (LPR),,"48.5379146, 38.4682374","48.5379146, 38.4682374","48.5379146, 38.4682374","48.5379146, 38.4682374",,,,0.0,1
60-а окрема мотострілецька бригада,"48.196717, 37.9630896",,,,,,,,0.0,0
60th Separate Motorized Rifle Brigade,,"48.1500167, 37.8697108","48.1500167, 37.8697108","48.1500167, 37.8697108","48.1500167, 37.8697108",,,,0.0,1
6th Separate Motorized Rifle Regiment (LNR),,,,,,"48.6814403, 38.1955305","48.6814403, 38.1955305","48.6814403, 38.1955305",0.0,1
61st Separate Naval Infantry Brigade,,"48.0032204, 37.7420226","48.0032204, 37.7420226","48.0032204, 37.7420226","48.0032204, 37.7420226",,,,0.0,1
64-а окрема мотострілецька бригада,"49.1568197, 37.2372822",,,,,,,,0.0,0
68-й танковий полк,"48.6265848, 38.5309782",,,,,,,,0.0,0
68th Panzer Regiment,,"49.1170728, 38.9154543","49.1170728, 38.9154543","49.1170728, 38.9154543","49.1170728, 38.9154543",,,,0.0,1
7th Separate Motorized Rifle Brigade (DPR),,,,,,"48.3471638, 37.9962365","48.3471638, 37.9962365","48.3471638, 37.9962365",0.0,1
7th Separate Motorized Rifle Brigade (LPR),,"49.0312679, 38.4494131","49.0312679, 38.4494131","49.0312679, 38.4494131","49.0312679, 38.4494131",,,,0.0,1
7th Separate Motorized Rifle Brigade (LPR),,"48.3480203, 38.3703711","48.3480203, 38.3703711","48.3480203, 38.3703711","48.3480203, 38.3703711",,,,0.0,1
70th Motorized Rifle Regiment,,"47.7540715, 36.9618018","47.7540715, 36.9618018","47.7540715, 36.9618018","47.7540715, 36.9618018",,,,0.0,1
70-ий мотострілецький полк Московії,"47.6995761, 36.8272153",,,,,,,,0.0,0
71st Guards Motorized Rifle Regiment,,,,,,"47.7651495, 36.8512508","47.7651495, 36.8512508","47.7651495, 36.8512508",0.0,1
71-й мотострілецький полк,"47.4814947, 36.2745332",,,,,,,,0.0,0
71st Motorized Rifle Regiment,,"47.4842787, 36.2388276","47.4842787, 36.2388276","47.4842787, 36.2388276","47.4842787, 36.2388276",,,,0.0,1
74-а окрема гвардійська мотострілецька бригада,"49.0172472, 37.9379585",,,,,,,,0.0,0
74th Separate Guards Motorized Rifle Brigade,,"48.978052, 38.2030047","48.978052, 38.2030047","48.978052, 38.2030047","48.978052, 38.2030047",,,,0.0,1
752-й гвардійський мотострілецький полк,"49.240673, 37.427756",,,,,,,,0.0,0
752nd Guards Motorized Rifle Regiment,,"49.240673, 37.427756","49.240673, 37.427756","49.240673, 37.427756","49.240673, 37.427756",,,,0.0,1
76th Guards Air Assault Division,,"49.2708953, 37.1096187","49.2708953, 37.1096187","49.2708953, 37.1096187","49.2708953, 37.1096187",,,,0.0,1
810-а окрема морська піхотна бригада,"47.0612082, 37.31681",,,,,,,,0.0,0
810th Separate Marine Infantry Brigade,,"47.1565474, 36.2126873","47.1565474, 36.2126873","47.1565474, 36.2126873","47.1565474, 36.2126873",,,,0.0,1
82-й окремий гвардійський мотострілковий батальйон,"46.9603623, 29.5080192",,,,,,,,0.0,0
82nd Detached Guards Motorized Rifle Battalion,,"46.9603623, 29.5080192","46.9603623, 29.5080192","46.9603623, 29.5080192","46.9603623, 29.5080192","46.9603623, 29.5080192","46.9603623, 29.5080192","46.9603623, 29.5080192",0.0,1
90th Guards Tank Division,,"49.1173501, 38.1786065","49.1173501, 38.1786065","49.1173501, 38.1786065","49.1173501, 38.1786065",,,,0.0,1
Kuban Regiment,,,,,,"48.9844527, 37.8364725",,,0.0,1
PMC Wagner,,,,,,"48.7036517, 38.3338749","48.7036517, 38.3338749","48.7036517, 38.3338749",0.0,1
